v_mean_m_per_s,p_from_bar,p_to_bar,t_from_k,t_to_k,mdot_from_kg_per_s,mdot_to_kg_per_s,vdot_norm_m3_per_s,reynolds,lambda,deltat_k,qext_w
0,9.355715609,7.798439282,,,0,0,0,0,0.017348165,0,0
0.259500405,9.900743527,7.154455731,382.7006576,313.15,0.378556245,-0.378556245,0.000378602,30615.21891,0.019438629,-0.010422561,119112.5
0.280070898,8.93981075,8.215762099,381.8887392,313.15,0.408564247,-0.408564247,0.000408613,33042.07505,0.01928509,-0.119196868,128554.5002
0.200991491,9.108228405,8.045755354,382.1327159,313.15,0.293204105,-0.293204105,0.000293239,23712.48127,0.020047166,-0.015092616,92256.49942
0.265071124,9.498590151,7.663838151,380.9578203,313.15,0.386682747,-0.386682747,0.000386729,31272.43869,0.019394696,-0.023273115,121669.4992
0.244064906,9.498123828,7.664432643,380.8522183,313.15,0.356039115,-0.356039115,0.000356082,28794.1768,0.019570837,-1.963731974,112027.4983
0.070832253,9.428799993,7.720566181,382.6572583,313.15,0.103329286,-0.103329286,0.000103342,8356.614808,0.025006769,-0.009641273,32512.49924
0.247851344,9.354743243,7.799504363,381.7350742,313.15,0.361562728,-0.361562728,0.000361606,29240.89143,0.019536881,-20,113765.4998
0.352615544,9.133534505,8.019956655,382.1503019,313.15,0.514391553,-0.514391553,0.000514453,41600.71383,0.0188866,-0.01348825,161853
0.202921742,9.049136945,8.104585811,382.3808388,313.15,0.296019934,-0.296019934,0.000296055,23940.20762,0.020021492,-20,93142.49847
0.31325667,8.611602819,8.549885385,382.103207,313.15,0.456975275,-0.456975275,0.00045703,36957.25078,0.019079896,-0.004876963,143787.0017
0.409412064,9.803774455,7.309163951,382.9531972,313.15,0.597245673,-0.597245673,0.000597317,48301.4275,0.018673178,-0.006220564,187923
0.360934586,9.798008347,7.321906337,382.967323,313.15,0.526527278,-0.526527278,0.00052659,42582.17398,0.018851142,-0.050853387,165671.4987
0.318683605,9.354769023,7.79875089,382.164381,313.15,0.464892026,-0.464892026,0.000464948,37597.50722,0.019050406,-0.001333243,146278.0029
0.386475595,9.354841167,7.798667548,382.1666867,313.15,0.563786211,-0.563786211,0.000563854,45595.43925,0.018751814,-0.000498671,177395
0.059255089,9.531298556,7.580037489,382.5346548,313.15,0.086440651,-0.086440651,8.65E-05,6990.769495,0.026503094,-0.002550836,27198.5
0.399547294,9.035882152,8.119014181,382.2234032,313.15,0.582855057,-0.582855057,0.000582925,47137.60615,0.018705892,-0.058476366,183395.0013
0.240422261,9.108224565,8.045759617,382.1330138,313.15,0.350725265,-0.350725265,0.000350767,28364.42648,0.019604513,-0.085291303,110355.4987
0.123624477,9.00922717,8.14765156,382.0534538,313.15,0.180341984,-0.180341984,0.000180364,14584.91146,0.021736262,-0.009696067,56744.49924
0.170482153,9.009337231,8.147521345,382.0579328,313.15,0.24869743,-0.24869743,0.000248727,20113.06473,0.020530177,-20,78252.50018
0.029399334,8.945113833,8.210010992,379.0593039,313.15,0.042887415,-0.042887415,4.29E-05,3468.46109,0.035800153,-20,13494.5
3.025994195,9.544987784,7.619106236,382.4028499,313.0589739,4.414285986,-4.414285986,0.004414815,356999.346,0.017527437,-0.034293715,1388952.492
0.25349396,9.300312388,7.844299957,382.1420848,313.15,0.369794112,-0.369794112,0.000369838,29906.59338,0.019488162,-0.083821564,116355.5
0.050790076,9.257907725,7.891021448,381.4999388,313.15,0.074091986,-0.074091986,7.41E-05,5992.088138,0.028028916,-0.035724814,23313
0.747556151,9.564446882,7.511765019,380.4810851,313.15,1.090526428,-1.090526428,0.001090657,88194.83443,0.018073831,-20,343133.5
0.270423985,9.640687989,7.432444475,380.1981206,313.15,0.394491441,-0.394491441,0.000394539,31903.95609,0.019354186,-1.965921419,124126.5
0.020934322,9.532896393,7.578096454,381.1712955,313.15,0.030538751,-0.030538751,3.05E-05,2469.779733,0.043261407,-0.185023658,9609
0.04632936,9.467244154,7.665959723,382.5076,313.15,0.067584744,-0.067584744,6.76E-05,5465.823802,0.029057288,-20,21265.5
0.016930025,9.532511804,7.578562032,380.3807665,313.15,0.024697329,-0.024697329,2.47E-05,1997.362713,0.049390418,69.55065762,7771
0.037864347,9.530448143,7.580968775,382.0110313,313.15,0.05523608,-0.05523608,5.52E-05,4467.142446,0.031674997,68.7387392,17380
0.025395038,9.529809629,7.58173075,381.194846,313.15,0.037045993,-0.037045993,3.71E-05,2996.044069,0.038709667,68.9827159,11656.5
0.020934322,9.529453271,7.582163421,382.0518475,313.15,0.030538751,-0.030538751,3.05E-05,2469.779733,0.043261407,67.80782034,9609
0.016930025,9.529224326,7.582446708,381.7148089,313.15,0.024697329,-0.024697329,2.47E-05,1997.362713,0.049390418,67.70221825,7771
0.025395038,9.52892524,7.582823247,381.9531381,313.15,0.037045993,-0.037045993,3.71E-05,2996.044069,0.038709667,69.50725829,11656.5
0.111227064,9.470108226,7.662306957,382.4353656,313.15,0.162256779,-0.162256779,0.000162276,13122.29524,0.022225361,68.5850742,51054.00018
0.025395038,9.443351321,7.694475535,378.3065626,313.15,0.037045993,-0.037045993,3.71E-05,2996.044069,0.038709667,69.00030191,11656.5
3.504764697,9.626407567,7.489470198,383.0083299,313.15,5.11271096,-5.11271096,0.005113324,413483.5112,0.017502948,69.23083882,1608711.5
0.5065315,9.457370249,7.758957618,380.7794463,313.15,0.738922403,-0.738922403,0.000739011,59759.33944,0.018419128,68.95320696,232501.5
0.46020214,9.442013199,7.71108446,381.6947477,313.15,0.671337659,-0.671337659,0.000671418,54293.51563,0.018526943,69.80319724,211236
0.292540207,9.485857892,7.65885504,382.3907291,313.15,0.426754333,-0.426754333,0.000426805,34513.17343,0.01920253,69.81732298,134278.0002
0.257498256,9.43934557,7.704287135,382.435862,313.15,0.375635534,-0.375635534,0.000375681,30379.0104,0.019454883,69.01438103,118193.5
0.706412971,9.256072871,7.887020847,382.9710433,313.15,1.030507224,-1.030507224,0.001030631,83340.8633,0.018116096,69.01668673,324248.4926
0.025395038,9.532644471,7.578398435,380.6025786,313.15,0.037045993,-0.037045993,3.71E-05,2996.044069,0.038709667,69.38465484,11656.5
